OBS,decimalLongitude,decimalLatitude
1,-104.7,24.25
1,-105.652984,23.521068
1,-104.74385,28.901372
1,-108.9083,28.375
1,-104.7,24.25
1,-104.7,24.25
1,-105.652984,23.521068
1,-99.75,25.183333
1,-105.872425,23.590137
1,-106.502495,28.786316
1,-106.495415,28.790493
1,-106.481171,28.793518
1,-107.025556,25.687778
1,-105.218247,23.792272
1,-108.160986,29.317919
1,-105.844805,23.590722
1,-105.740444,24.07625
1,-105.342222,23.908056
1,-108.286667,30.111667
1,-104.844444,23.479167
1,-105.844805,23.590722
1,-104.943305,23.207861
1,-108.125278,28.385
1,-105.672222,23.716944
1,-107.575,28.658333
1,-104.943305,23.207861
1,-104.944194,23.206
1,-108.70449,29.81603
1,-105.352179,23.902267
1,-106.3,26.55
1,-104.7,24.25
1,-105.652984,23.521068
1,-104.7,24.25
1,-104.7,24.25
1,-104.74385,28.901372
1,-99.75,25.183333
1,-105.652984,23.521068
1,-108.9083,28.375
1,-99.87,19.05
1,-100.05,19.03333
1,-99.87,19.05
1,-100.033056,19.025
1,-108.434233,29.752983
1,-107.047778,25.956111
1,-105.722998,23.706613
1,-106.955742,26.068273
1,-104.948055,23.208611
1,-108.933333,28.373611
1,-108.287,30.1116
1,-100.06858,19.06764
1,-104.595,20.371
1,-108.908,28.375
1,-108.933,28.37361
1,-99.49444,18.55639
1,-99.50444,18.56417
1,-104.183,19.88
1,-107.613889,27.726944
1,-108.292,28.3851
1,-104.667,22.967
1,-99.61861,18.58583
1,-108.5,28.5
1,-108.296944,29.206944
1,-108.420107,29.337429
1,-108.273064,29.687932
1,-108.317,30.05
1,-108.5,28.5
1,-108.92278,28.39639
1,-108.78241,29.78994
1,-108.5,28.5
1,-100.035,19.0219
1,-99.881,19.0518
1,-105.41667,23.75
1,-104.7,23.53333
1,-108.55556,28.44
1,-108.31667,30.05
1,-105.142,24.0698
1,-99.881,19.0518
1,-107.05,25.95
1,-99.8791,19.0528
1,-108.908333,28.391667
1,-100.093333,19.047222
1,-104.043889,21.405833
1,-107.047778,25.956111
1,-103.96667,20.36667
1,-105.85,23.57083
1,-106.65472,29.11278
1,-104.71194,23.55444
1,-105.33333,23.82778
1,-105.66667,23.73333
1,-100.04405,19.044417
1,-104.625,20.401
1,-100.057,19.0015
1,-104.73,20.376
1,-103.133,19.2069
1,-105.601,23.7295
1,-105.592,23.7295
1,-104.819,20.3852
1,-104.812,20.3831
1,-108.32,29.9658
1,-105.142,24.0698
1,-104.833,20.2108
1,-104.822,20.3804
1,-104.635,20.3831
1,-99.881,19.0518
1,-104.463,20.2669
1,-104.549,19.9124
1,-104.636,20.388
1,-99.8791,19.0528
1,-105.604,23.7269
1,-104.7,23.533333
1,-105.847723,23.58721
1,-100.123111,18.952
1,-104.59495,20.370633
1,-100.093383,19.04725
1,-103.813611,19.998056
1,-100.123111,18.952
1,-100.068583,19.067639
1,-104.183383,19.880117
1,-100.049778,19.019889
1,-100.049778,19.019889
1,-107.351389,27.167778
1,-107.531944,27.212222
1,-108.206944,28.168333
1,-100.032083,19.048722
1,-100.093333,19.04725
1,-100.030281,19.022219
1,-108.370489,29.622817
1,-99.879719,19.052781
1,-108.2112824,29.662602
1,-104.7,23.533333
1,-99.8798389,19.0534142
1,-108.372219,28.421939
1,-106.1886,26.681389
1,-108.300428,28.396789
1,-107.6131232,27.7291239
1,-104.997406,23.918558
1,-105.337989,23.804258
1,-107.045378,25.957203
1,-108.480561,28.495281
1,-107.05,25.95
1,-108.965203,28.687094
1,-105.418722,23.763022
1,-105.320528,23.84425
1,-104.58,21.74
1,-108.5509997,28.4376264
1,-105.3086088,26.57075
1,-108.9259382,28.371316
1,-106.0892,28.63549
1,-100.054971,19.0402803
1,-108.316667,30.05
1,-105.1358632,23.8755376
1,-104.766667,20.5
1,-99.618611,18.585833
1,-104.346667,20.128333
1,-104.305,23.011667
1,-105.485,25.286667
1,-104.786389,20.525278
1,-105.335,23.82
1,-103.848333,20.786667
1,-104.088333,21.39
1,-104.786389,20.525278
1,-105.342306,23.908139
1,-99.87,19.05
1,-108.3333,29.9833
1,-99.87,19.05
1,-105.3,26.57
1,-100.033056,19.025
1,-100.05,19.03333
1,-104.7,23.53333
1,-106.21861,28.96611