species,precipitation_seasonality
ambiguus,81.33855111
balsensis,101.0375845
barbatus,94.47840826
catalinae,82.22434616
cernuus,102.0234919
clavatus,106.0240479
concolor,65.20550458
dunnii,85.0891304
exilis,85.76384535
flexuosus,92.24546051
fuscus,99.45826219
ghiesbreghtii,85.50526335
hartwegii,115.955329
kennedyi,87.54942661
marcellae,66.44885713
mendozae,79.31864112
nigrescens,93.23951772
occidentalis,101.3800383
ownbeyi,99.54378446
palmeri,62.55846678
pringlei,100.0472306
purpureus,105.2299911
spatulatus,98.73451064
splendens,86.33138399
venustulus,97.65337731
weedii_weedii,82.93067211