species,Elevation
ambiguus,1552.857143
balsensis,1741.486111
barbatus,2256.477612
catalinae,439.5
cernuus,2006.833333
clavatus,788
concolor,1294.480519
dunnii,241
exilis,2533.607143
flexuosus,61
fuscus,1913.308943
ghiesbreghtii,1896.571429
hartwegii,1494.882353
kennedyi,1126.555556
marcellae,2016.1875
mendozae,1387.642857
nigrescens,2325.3
occidentalis,2363.923077
ownbeyi,2250.45
palmeri,1355.057143
pringlei,2048.258065
purpureus,1980.468468
spatulatus,1781.484536
splendens,349.7315011
venustulus,2110.676471
weedii_weedii,573.5375